# WIC4-J1-J2 WG4-A-B WF4-J01-J02 024-A-B WST2-J1-J3 057-A-B WST1-J4-J3 025-A-B WLNA2-J02-J03 028-A-B WST5-J3-J4 060-B-A WST6-J3-J2 035-A-B WISOK4-1-2 036-A-B WD4-J1-J3 037-A-B WISOK13-1-2 165-A-B WSC13-J3-J2 172-A-B WST13-J1-J3 WU47.1-J2-J1 073-A-B WU47.2-J1-J2 WST19-J3-J2 396-A-B WST45-J1-J4 194-B-A WST46-J3-J4 192-A-B W3CN10-J01-J02 193-A-B WST56-J1-J2 219-A-B WDTP1-J108-J69 227-A-B WST62-J1-J2 244-A-B WU64-J1-J2 W4CN1-J21-J22 245-A-B WST66-J4-J2 270-A-B WF18-J1-J2 271-A-B WISOK22-1-2 272-A-B WD10-1-3 273-A-B WISOK29-1-2 274-A-B WU69-J1-J2 WST70-J1-J4 298-B-A W5CN6-J01-J02 304-A-B WST74-J4-J2 WU74.1-J2-J1 328-A-B WU74.2-J1-J2 WSC18-J4-J3 330-A-B WIM2-I2-O2 343-A-B WSC21-J1-J4 346-A-B WST82-J1-J3 364-A-B WST81-J4-J3 360-A-B W6CN1-J01-J02 361-A-B WSX3-J2-J1 WSCW1-J1-J2 WSX1-J1-J2 367-A-B WSX1M-J2-J1 WSA1-J1-J2 WSX3M-J1-J2 371-A-B WCP2M-J1-J2 372-A-B WTW2M-Input-Output WAD1.5-A-B WG44.1-A-B WG44.2-A-B WAD1.6-A-B WS2M-I/P-0/P WAD1.7-A-B WG45.1-A-B WG45.2-A-B WAD1.8-A-B WSA3-J3-J2 WAD1.13-A-B WG48-A-B WAD5.1-A-B WOM1-J01-J03 WAD8-A-B WG49-A-B WOC2-1-2
# 5725.0_250.0_-45.0H_CIF-5050.0G30.0_SKA18460_KKA11840_MLO10_DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -320}
# Ch5M, bsk1_id:3674
# Freq, IM3 
-48.0,13
-49.0,15
-50.0,16
