# WIC3-J1-J2 WG3-A-B WF3-J01-J02 023-A-B WST1-J1-J2 026-A-B WLNA2-J05-J06 029-A-B WST5-J1-J2 031-A-B WISOK3-1-2 032-A-B WD3-J1-J3 033-A-B WISOK11-1-2 164-A-B WSC14-J3-J2 173-A-B WST14-J1-J3 WU49.1-J2-J1 076-A-B WU49.2-J1-J2 WST20-J3-J2 397-A-B WST46-J1-J2 190-A-B W3CN9-J01-J02 191-A-B WST55-J1-J2 218-A-B WDTP1-J98-J59 226-A-B WST61-J1-J2 242-A-B WU63-J1-J2 W4CN1-J11-J12 243-A-B WST66-J1-J2 270-A-B WF18-J1-J2 271-A-B WISOK22-1-2 272-A-B WD10-1-3 273-A-B WISOK29-1-2 274-A-B WU69-J1-J2 WST70-J1-J2 297-A-B W5CN5-J01-J02 303-A-B WST74-J1-J2 WU74.1-J2-J1 328-A-B WU74.2-J1-J2 WSC18-J4-J3 330-A-B WIM2-I2-O2 343-A-B WSC21-J1-J4 346-A-B WST82-J1-J2 365-A-B W6CN3-J01-J02 366-A-B WSX5-J2-J1 WSCW2-J3-J4 WSX2-J1-J2 368-A-B WSX2M-J2-J1 WSA2-J4-J3 WSX5M-J1-J2 373-A-B WCP3M-J1-J2 374-A-B WTW3M-Input-Output WAD1.9-A-B WG46.1-A-B WG46.2-A-B WAD1.10-A-B WS3M-I/P-0/P WAD1.11-A-B WG47.1-A-B WG47.2-A-B WAD1.12-A-B WSA4-J3-J2 WAD1.14-A-B WG50-A-B WAD5.2-A-B WF19-J01-J02 WAD6-A-B WG51.1-A-B WG51.2-A-B WG51.3-A-B WAD7-A-B WFR1-4-1 WG52-A-B WOC3-1-2
# 6475.0_250.0_-45.0H_CIF-5800.0G30.0_SKA18460_KKA11840_MLO10_
DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -320}
# Ch5M
# Freq, Gain 
32500.0,-2.978121200915851
32501.004016064257,-2.846418233662682
32502.008032128513,-2.725356690613104
32503.01204819277,-2.617864387007913
32504.016064257026,-2.5279943212760756
32505.020080321287,-2.4384883270906457
32506.024096385543,-2.35507668475406
32507.0281124498,-2.2754691871651147
32508.032128514056,-2.208980220682065
32509.036144578313,-2.155473707345834
32510.04016064257,-2.110945614045974
32511.044176706826,-2.073529880816025
32512.048192771083,-2.038250981721326
32513.052208835343,-2.008096114464429
32514.0562248996,-1.9709673299815194
32515.060240963856,-1.940217605647426
32516.064257028112,-1.9042854849835535
32517.06827309237,-1.8725408991865393
32518.072289156626,-1.8346550221140845
32519.076305220882,-1.781847921378791
32520.08032128514,-1.7329295091920116
32521.0843373494,-1.689377598137746
32522.088353413656,-1.6454179788310768
32523.092369477912,-1.5934748060381807
32524.09638554217,-1.5499123389373324
32525.100401606425,-1.5117252384479372
32526.104417670682,-1.4759927712868333
32527.10843373494,-1.4341071220447503
32528.112449799195,-1.4014078578221074
32529.116465863455,-1.3604263685962792
32530.12048192771,-1.3232005675155278
32531.12449799197,-1.279948552981928
32532.128514056225,-1.2514332879783652
32533.13253012048,-1.219637829336392
32534.136546184738,-1.1878913835325022
32535.140562248995,-1.1583035802952253
32536.14457831325,-1.123631152509141
32537.14859437751,-1.0858717598218917
32538.152610441768,-1.048484046904889
32539.156626506025,-1.015369433054353
32540.16064257028,-0.9731534369538721
32541.164658634538,-0.9295235502286445
32542.168674698794,-0.8847453629990554
32543.17269076305,-0.8414681533191768
32544.176706827307,-0.7977868735957543
32545.180722891568,-0.7571839658330219
32546.184738955824,-0.728485189195716
32547.18875502008,-0.6968357815824859
32548.192771084337,-0.6705055579100829
32549.196787148594,-0.653163773744879
32550.20080321285,-0.6225348734835379
32551.204819277107,-0.5945637630639382
32552.208835341364,-0.5637070588047379
32553.212851405624,-0.5267895418057762
32554.21686746988,-0.4889303843271193
32555.220883534137,-0.44676400638377345
32556.224899598394,-0.41007057058469343
32557.22891566265,-0.3703851879336355
32558.232931726907,-0.3389978543683796
32559.236947791163,-0.3057520967056604
32560.24096385542,-0.27573239521428405
32561.24497991968,-0.26171563877522885
32562.248995983937,-0.2550631384967801
32563.253012048193,-0.24173264399291128
32564.25702811245,-0.2317003787091778
32565.261044176706,-0.22043098928027405
32566.265060240963,-0.20879953465618684
32567.26907630522,-0.1753562215959974
32568.273092369476,-0.14518718091368044
32569.277108433736,-0.11972497736532262
32570.281124497993,-0.09577617724369958
32571.28514056225,-0.06874170806324997
32572.289156626506,-0.04735527386603877
32573.293172690763,-0.031001164241608592
32574.29718875502,-0.022048437708576785
32575.301204819276,-0.008725059994461049
32576.305220883532,-0.014083668426174256
32577.309236947793,-0.01091380294845834
32578.31325301205,-0.020800043910249144
32579.317269076306,-0.02970440232952143
32580.321285140562,-0.03268882862960254
32581.32530120482,-0.022955851532131533
32582.329317269076,-0.011768578579705036
32583.333333333332,-0.00472800401269069
32584.33734939759,-0.004675551803785538
32585.34136546185,0.0
32586.345381526105,-0.0034633155219836453
32587.349397590362,-0.003693526386584267
32588.35341365462,-0.015302631894350327
32589.357429718875,-0.027224003779359407
32590.36144578313,-0.039096392347929054
32591.36546184739,-0.056852278948667845
32592.369477911645,-0.07212035302607234
32593.373493975905,-0.0805269308364629
32594.37751004016,-0.08131300883549386
32595.38152610442,-0.08394346741236092
32596.385542168675,-0.09345583577900385
32597.38955823293,-0.10821607355631357
32598.393574297188,-0.13106483830036808
32599.397590361445,-0.15128648662638255
32600.4016064257,-0.18384231436039755
32601.40562248996,-0.21301895671792437
32602.409638554218,-0.23534893460226414
32603.413654618475,-0.26025130729239976
32604.41767068273,-0.2789795440922518
32605.421686746988,-0.2873913477185326
32606.425702811244,-0.27436334043964905
32607.4297188755,-0.27286094144887585
32608.433734939757,-0.26997289601479935
32609.437751004018,-0.2731941282157564
32610.441767068274,-0.2831012699590758
32611.44578313253,-0.29658143493249156
32612.449799196787,-0.3178334483659597
32613.453815261044,-0.34287940782699877
32614.4578313253,-0.36923769532923956
32615.461847389557,-0.39265375218875676
32616.465863453814,-0.4138447456051395
32617.469879518074,-0.42748950101722727
32618.47389558233,-0.4351009371820993
32619.477911646587,-0.4393749552019628
32620.481927710844,-0.44125974969736603
32621.4859437751,-0.44434825153163615
32622.489959839357,-0.448258760728919
32623.493975903613,-0.445795543123765
32624.49799196787,-0.4377662990344007
32625.50200803213,-0.4319943490580158
32626.506024096387,-0.4276114398745321
32627.510040160643,-0.4269052523765495
32628.5140562249,-0.43493897650949265
32629.518072289156,-0.44337368174280556
32630.522088353413,-0.45054051580002863
32631.52610441767,-0.45586073221346624
32632.530120481926,-0.45834125577948726
32633.534136546186,-0.4464426499176142
32634.538152610443,-0.4411307022152471
32635.5421686747,-0.43387603142864606
32636.546184738956,-0.4240490816051121
32637.550200803213,-0.41504968694955124
32638.55421686747,-0.4065564489771347
32639.558232931726,-0.38542797951108554
32640.562248995982,-0.37601528227087044
32641.566265060243,-0.35915256039375265
32642.5702811245,-0.3501943166403265
32643.574297188756,-0.3430073997391858
32644.578313253012,-0.3310673709297447
32645.58232931727,-0.30968441885514153
32646.586345381525,-0.2911149784063767
32647.590361445782,-0.266886672021279
32648.59437751004,-0.25429396645782987
32649.5983935743,-0.23855840180244314
32650.602409638555,-0.23966824696030642
32651.606425702812,-0.23811725983801324
32652.61044176707,-0.2371678995077815
32653.614457831325,-0.2374471920599035
32654.61847389558,-0.23967349245512537
32655.62248995984,-0.23817733972960298
32656.626506024095,-0.2264577929599625
32657.630522088355,-0.21044765892052908
32658.63453815261,-0.1777551897837668
32659.63855421687,-0.14571143676637632
32660.642570281125,-0.1205222551836087
32661.64658634538,-0.11042463234707611
32662.650602409638,-0.10769060790389062
32663.654618473895,-0.10486566807088593
32664.65863453815,-0.09704997196415377
32665.66265060241,-0.11814959046424889
32666.666666666668,-0.1486939308838373
32667.670682730924,-0.17938960090607026
32668.67469879518,-0.20323304344884008
