# WIC2-J1-J2 WG2-A-B WF2-J01-J02 002-A-B WSC2-J4-J1 005-A-B WSC1-J2-J3 004-A-B WLNA1-J05-J06 008-A-B WSC3-J3-J4 009-A-B WSC4-J1-J2 017-A-B WISOK2-1-2 018-A-B WD2-J1-J3 019-A-B WISOK9-1-2 020-A-B WSC9-J1-J2 168-A-B WST9-J1-J3 WU37.1-J2-J1 061-A-B WU37.2-J1-J2 WST15-J3-J2 150-A-B WST39-J1-J3 174-A-B W3CN1-J01-J02 175-A-B WST47-J1-J2 210-A-B WDTP1-J18-J19 222-A-B WST57-J1-J2 234-A-B WU59-J1-J2 W4CN3-J11-J12 235-B-A WST63-J3-J2 249-A-B WF15-J1-J2 250-A-B WISOK19-1-2 251-A-B WD7-1-3 252-A-B WISOK23-1-2 253-A-B WU66-J1-J2 WST67-J1-J3 293-A-B W5CN1-J01-J02 299-B-A WST71-J3-J2 311-A-B WISOK39-1-2 312-A-B WU71-J1-J2 WD15-J1-J3 313-A-B WISOK41-1-2 WU75-J2-J1 314-A-B WIM1-I1-O1 WU82-J2-J1 338-A-B WST76-J1-J3 355-A-B WST75-J4-J3 347-A-B WU87-J1-J2 WCPA1-J01A-J02A 1AT-A-B WU1A-J1-J2 WTW1A-Input-Output WG7.1-A-B WG7.2-A-B WG7.3-A-B WISO1-J01-J02 WG8-A-B WSR1-J4-J2 WG9-A-B WSR3-J1-J2 WG15.1-A-B WG15.2-A-B WG15.3-A-B WG15.4-A-B WOM2-J01-J08 WG37.1-A-B WG37.2-A-B WG37.3-A-B WG37.4-A-B WOC1-1-2
# 5725.0_80.0_-45.0H_CIF-5050.0G30.0_SKA17980_KKA0_MLO10_
DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -285}
# Ch1
# Freq, Gain 
20215.0,-3.018823417756529
20216.01265822785,-2.808660587619954
20217.025316455696,-2.618682312389076
20218.037974683546,-2.4434186867346455
20219.050632911392,-2.282197336901639
20220.063291139242,-2.1219049331501907
20221.07594936709,-1.9614757195075754
20222.08860759494,-1.8226338119782923
20223.101265822785,-1.6943020591990106
20224.113924050635,-1.5975448921459119
20225.12658227848,-1.5085667266881302
20226.13924050633,-1.4427473647370306
20227.151898734177,-1.3890573958545929
20228.164556962027,-1.3419164186006185
20229.177215189873,-1.2964114271175902
20230.189873417723,-1.2505413290573415
20231.20253164557,-1.2085151144191855
20232.21518987342,-1.1599223363380702
20233.227848101265,-1.1135296230882403
20234.240506329115,-1.0697687810710121
20235.25316455696,-1.0209244917160731
20236.26582278481,-0.9660496086030221
20237.278481012658,-0.9185280293323004
20238.291139240508,-0.8803059317539592
20239.303797468354,-0.8516770820557724
20240.316455696204,-0.8224371342532422
20241.32911392405,-0.8070449170689713
20242.3417721519,-0.7893099042312457
20243.354430379746,-0.7596621996246498
20244.367088607596,-0.7378676996527886
20245.379746835442,-0.7138519487896744
20246.392405063292,-0.6813750023711265
20247.40506329114,-0.6337115955539261
20248.41772151899,-0.5856213392322118
20249.430379746835,-0.5427084632629189
20250.443037974685,-0.48643113138346905
20251.45569620253,-0.42956625770869294
20252.46835443038,-0.38179273700106364
20253.481012658227,-0.3363690731013662
20254.493670886077,-0.30478533398157737
20255.506329113923,-0.28569818223113685
20256.518987341773,-0.2738710015487129
20257.53164556962,-0.2604504384522244
20258.54430379747,-0.24789241576844034
20259.556962025315,-0.22848310967391683
20260.569620253165,-0.2097198986955533
20261.58227848101,-0.1859635105144477
20262.59493670886,-0.15402429148466013
20263.607594936708,-0.1245497269089384
20264.620253164558,-0.095457868753833
20265.632911392404,-0.07344589412065261
20266.645569620254,-0.0569255138823479
20267.6582278481,-0.04437490428581725
20268.67088607595,-0.03136996318395546
20269.683544303796,-0.02734281865441801
20270.696202531646,-0.021104166636895627
20271.708860759492,-0.007856448177236075
20272.721518987342,-0.004987237652130716
20273.73417721519,-0.0027992413952304673
20274.74683544304,0.0
20275.759493670885,-0.007873135609585802
20276.772151898735,-0.03257369442234648
20277.78481012658,-0.06533145411947316
20278.79746835443,-0.10553742834625979
20279.810126582277,-0.15166965796749565
20280.822784810127,-0.2108721544027432
20281.835443037973,-0.2805129904334649
20282.848101265823,-0.330433951186194
20283.86075949367,-0.38016104537979345
20284.87341772152,-0.42571282341652505
20285.886075949365,-0.45011014358999546
20286.898734177215,-0.47611561623260457
20287.91139240506,-0.5126441996186628
20288.92405063291,-0.5814631595614657
20289.936708860758,-0.6827447976475796
20290.949367088608,-0.8130063597181731
20291.962025316454,-0.9951826479887842
20292.974683544304,-1.2211944621340791
20293.98734177215,-1.4938589206355957
20295.0,-1.8190775279838647
