# WIC6-J1-J2 WG6-A-B WF6-J01-J02 040-A-B WST4-J1-J2 042-A-B WLNA3-J05-J06 045-A-B WST8-J1-J2 051-A-B WISOK6-1-2 052-A-B WD6-J1-J3 053-A-B WISOK17-1-2 167-A-B WSC11-J3-J2 170-A-B WST11-J1-J3 WU43.1-J2-J1 067-A-B WU43.2-J1-J2 WST17-J3-J2 394-A-B WST43-J1-J2 184-A-B W3CN6-J01-J02 185-A-B WST52-J1-J2 215-A-B WDTP1-J68-J29 223-A-B WST58-J1-J2 236-A-B WU60-J1-J2 W4CN3-J21-J22 237-A-B WST63-J1-J2 249-A-B WF15-J1-J2 250-A-B WISOK19-1-2 251-A-B WD7-1-3 252-A-B WISOK23-1-2 253-A-B WU66-J1-J2 WST67-J1-J2 294-A-B W5CN2-J01-J02 300-A-B WST71-J1-J2 311-A-B WISOK39-1-2 312-A-B WU71-J1-J2 WD15-J1-J3 313-A-B WISOK41-1-2 WU75-J2-J1 314-A-B WIM1-I1-O1 WU82-J2-J1 338-A-B WST76-J1-J2 349-A-B WU89-J1-J2 WCPA2-J01A-J02A 2AT-A-B WU2A-J1-J2 WTW2A-Input-Output WG13.1-A-B WG13.2-A-B WG13.3-A-B WISO3-J01-J02 WG14-A-B WSR3-J4-J2 WG15.1-A-B WG15.2-A-B WG15.3-A-B WG15.4-A-B WOM2-J01-J08 WG37.1-A-B WG37.2-A-B WG37.3-A-B WG37.4-A-B WOC1-1-2
# 5725.0_80.0_-45.0H_CIF-5050.0G30.0_SKA17980_KKA0_MLO10_
DTP={'TC_N': 1, 'TC_R': 0, 'G_N': 1, 'G_R': 0, 'B1': 1, 'B2': 1, 'B3': 0, 'B4': 0, 'INV': 0, 'ALC': 0, 'G_NUM': -26, 'ALC_LEVEL': -26, 'LO': -285}
# Ch1
# Freq, Gain 
20215.0,-2.548908265797863
20216.01265822785,-2.3629214233973244
20217.025316455696,-2.1966291091172465
20218.037974683546,-2.0405384941539992
20219.050632911392,-1.8920927059426589
20220.063291139242,-1.7472551841661783
20221.07594936709,-1.6131621403275958
20222.08860759494,-1.4998759625648503
20223.101265822785,-1.39405029525129
20224.113924050635,-1.3200856136146228
20225.12658227848,-1.2530492779417983
20226.13924050633,-1.210464595500227
20227.151898734177,-1.179002270773566
20228.164556962027,-1.154223255584924
20229.177215189873,-1.1297917386326048
20230.189873417723,-1.1068141679546528
20231.20253164557,-1.0940871692397707
20232.21518987342,-1.0745407068745934
20233.227848101265,-1.0496922498150951
20234.240506329115,-1.0233835718733388
20235.25316455696,-0.9911137496531026
20236.26582278481,-0.9536986504654479
20237.278481012658,-0.9230941160741821
20238.291139240508,-0.90155604894737
20239.303797468354,-0.8887454723930119
20240.316455696204,-0.8752886997920157
20241.32911392405,-0.8749971745395229
20242.3417721519,-0.872825674695136
20243.354430379746,-0.8584165993468602
20244.367088607596,-0.8507517707364372
20245.379746835442,-0.8383226867767277
20246.392405063292,-0.8119011466098911
20247.40506329114,-0.7700134886170602
20248.41772151899,-0.7234663891035069
20249.430379746835,-0.6823147935360296
20250.443037974685,-0.6278342591391848
20251.45569620253,-0.5726486657343628
20252.46835443038,-0.525746564964841
20253.481012658227,-0.48887461055236514
20254.493670886077,-0.46639537365366834
20255.506329113923,-0.45204288098943124
20256.518987341773,-0.4407572351151785
20257.53164556962,-0.4266019666115639
20258.54430379747,-0.4024123952205514
20259.556962025315,-0.37201122765483774
20260.569620253165,-0.34697677434159147
20261.58227848101,-0.3198079493952619
20262.59493670886,-0.28307487395643705
20263.607594936708,-0.24512284718922928
20264.620253164558,-0.2084415161178086
20265.632911392404,-0.1718909039028773
20266.645569620254,-0.13751016903872681
20267.6582278481,-0.10887976142293354
20268.67088607595,-0.08967260444130432
20269.683544303796,-0.08034018718674929
20270.696202531646,-0.06359134795267352
20271.708860759492,-0.037503177885312766
20272.721518987342,-0.02417601879554354
20273.73417721519,-0.01538224218744233
20274.74683544304,-0.004907132409591952
20275.759493670885,0.0
20276.772151898735,-0.009152080101564763
20277.78481012658,-0.02865806593180764
20278.79746835443,-0.05766645182023922
20279.810126582277,-0.09336865675182082
20280.822784810127,-0.13503795739332958
20281.835443037973,-0.1866191828089825
20282.848101265823,-0.21886161412636085
20283.86075949367,-0.2544250365715186
20284.87341772152,-0.286038394530749
20285.886075949365,-0.2941659370895664
20286.898734177215,-0.30425708882359004
20287.91139240506,-0.32669294410590766
20288.92405063291,-0.38412058269759086
20289.936708860758,-0.473889572930851
20290.949367088608,-0.5893595954261883
20291.962025316454,-0.7546070166293504
20292.974683544304,-0.9653817113482575
20293.98734177215,-1.2218305497302566
20295.0,-1.5312900226410804
